Country Name,Confirmed Values,Deaths
US,39070,1146
US,67269,979
US,106604,1174
US,25731,472
US,11287,175
US,4938,89
US,319149,3872
US,98081,1479
US,29013,438
US,3580,58
US,17803,246
US,5663,109
US,2311,38
US,5043,90
US,4585,64
US,10362,141
US,13827,174
US,53794,1286
US,30739,807
US,479640,4409
US,6384,107
US,42698,763
US,18364,301
US,5046,70
US,3157,65
US,109346,1811
US,243110,2557
US,114380,794
US,12803,192
US,2997,31
US,7053,108
US,123507,1743
US,105662,2497
US,40724,768
US,1552197,12285
US,22919,138
US,27713,355
US,62183,768
US,12495,200
US,475796,3301
US,144497,1273
US,481679,6031
US,159816,2280
US,277006,4065
US,260300,3450
US,21209,469
US,59416,695
US,122219,2063
US,132095,1282
US,78720,706
US,96060,1413
US,30228,720
US,16028,360
US,8109,116
US,3307,396
US,5131,126
US,151166,2341
US,12188,143
US,20605,236
US,7746,124
US,5266,136
US,2449,58
US,4098,82
US,654,15
US,11199,262
US,4586,101
US,26052,291
US,35396,488
US,4991,125
US,5876,96
US,45403,836
US,3938,111
US,4689,116
US,4061,101
US,11203,112
US,17869,283
US,6296,124
US,7680,181
US,1571,25
US,13653,140
US,2581,110
US,28396,500
US,16998,205
US,3485,65
US,79653,1042
US,7924,24
US,7581,152
US,75790,713
US,35334,264
US,625,7
US,77902,1095
US,2457,46
US,216663,2102
US,11781,308
US,13042,278
US,43298,438
US,5707,83
US,41221,527
US,2225,64
US,5596,146
US,3942,44
US,8345,108
US,192315,1980
US,8566,144
US,5942,174
US,2844,76
US,24389,577
US,43478,462
US,3126,65
US,1059,12
US,16399,217
US,5334,121
US,6781,168
US,2836,70
US,5768,180
US,29631,387
US,32150,572
US,66837,466
US,6176,116
US,276219,2667
US,8267,199
US,727,31
US,27259,442
US,19761,305
US,6835,114
US,4758,91
US,257462,2122
US,11488,290
US,63629,935
US,1945,91
US,6292,186
US,7114,125
US,5609,112
US,2583,62
US,72008,758
US,49515,545
US,2226,57
US,24990,314
US,3797,83
US,4357,77
US,4238,122
US,1789,69
US,2645,86
US,6040,127
US,5842,131
US,2698,32
US,16454,330
US,8668,113
US,15774,168
US,1838,40
US,3479,36
US,36984,434
US,8941,139
US,2737,54
US,8025,123
US,1872,57
US,6165,114
US,2857,39
US,5576,159
US,2033,32
US,6277,127
US,7074,185
US,2329,57
US,5534,75
US,13523,206
US,45908,928
US,30775,498
US,10559,117
US,3758,65
US,99220,1654
US,46667,477
US,7951,151
US,10130,194
US,6431,144
US,6495,109
US,13752,215
US,2699,84
US,5270,115
US,551,5
US,4116,106
US,1825,50
US,60659,972
US,23742,351
US,1412,11
US,3174,76
US,2510,39
US,19289,452
US,7270,183
US,3287,36
US,8733,190
US,1381,35
US,337,4
US,5725,144
US,2440,53
US,3520,90
US,2547,71
US,13776,235
US,13823,240
US,7999,216
US,3085,127
US,1882,71
US,18779,426
US,3186,65
US,1852,74
US,12410,2
US,6138,182
US,9619,259
US,19976,291
US,26614,480
US,11350,304
US,1291,35
US,5134,141
US,8867,222
US,545,10
US,1590,39
US,8336,185
US,39243,494
US,2414,73
US,2624,55
US,2670,67
US,5532,125
US,103,3
US,61027,420
US,42594,237
US,264197,1355
US,19155,50
US,45510,185
US,9152,14
US,0,0
US,160373,1139
US,819,16
US,24459,273
US,1155,19
US,2770,45
US,11205,175
US,7310,33
US,1297,14
US,10275,201
US,35614,305
US,2416,69
US,555,12
US,182,2
US,70696,738
US,1664,35
US,5610,58
US,118,1
US,2693,40
US,707,9
US,9096,74
US,2594,31
US,2415,30
US,4263,86
US,3932,61
US,3601,59
US,6853,69
US,7118,68
US,47262,669
US,7725,57
US,1796,28
US,1406,32
US,1300,15
US,13800,58
US,4821,71
US,10618,161
US,956,12
US,2613,56
US,6793,92
US,1660,20
US,3119,80
US,2937,9
US,28733,315
US,0,0
US,3146,18
US,2645,61
US,27974,234
US,1574,16
US,5310,31
US,17550,127
US,2873,17
US,10275,136
US,1900,6
US,5022,57
US,5620,38
US,86054,315
US,13026,119
US,5933,54
US,5921,76
US,14392,118
US,18977,189
US,1533935,15289
US,7889,50
US,4004,40
US,5211,42
US,32553,217
US,7943,63
US,289813,1859
US,6660,60
US,2125,29
US,12823,147
US,8753,106
US,5516,71
US,15422,186
US,12788,139
US,1850,20
US,4281,49
US,16326,154
US,2668,32
US,5396,52
US,1447,20
US,1576,19
US,15932,135
US,8886,131
US,20182,143
US,3224,33
US,13589,185
US,7873,80
US,5182,46
US,5572,44
US,166146,1216
US,36784,386
US,41814,171
US,16232,245
US,37187,421
US,210403,1544
US,6844,45
US,11614,92
US,13246,145
US,12678,101
US,40343,373
US,16079,149
US,87637,857
US,14693,223
US,3481,34
US,4730,67
US,4663,73
US,9086,109
US,98211,525
US,64188,332
US,4598,29
US,4931,51
US,11440,135
US,12176,112
US,12381,138
US,4939,51
US,17498,141
US,3,0
US,59913,579
US,9157,101
US,5584,23
US,6159,70
US,1266,9
US,2057,23
US,1421,11
US,12948,135
US,6317,77
US,42574,519
US,10361,106
US,76600,445
US,2474,18
US,1575,14
US,7605,81
US,81204,802
US,1891,39
US,15058,189
US,46151,514
US,66,5065
US,6858,70
US,35285,325
US,4837,30
US,5073,93
US,4140,36
US,6611,94
US,5445,55
US,19530,244
US,216951,1693
US,28971,275
US,100711,901
US,12654,121
US,8751,120
US,124359,1284
US,26876,270
US,2985,28
US,3701,82
US,17386,204
US,2984,63
US,4926,74
US,14090,182
US,41291,435
US,8155,101
US,10719,146
US,3098,41
US,9069,165
US,13654,164
US,16256,150
US,8582,155
US,30191,503
US,15090,179
US,61477,794
US,8378,163
US,24235,331
US,6424,111
US,5205,69
US,5774,115
US,14364,160
US,21036,392
US,9107,153
US,96944,723
US,25238,301
US,13373,166
US,47804,614
US,16226,258
US,30065,489
US,14368,175
US,15182,144
US,11067,163
US,5904,87
US,11231,180
US,8172,119
US,51015,661
US,14246,167
US,22957,256
US,6543,106
US,31801,405
US,134438,2008
US,14516,285
US,39768,701
US,268696,3238
US,14072,217
US,2619,30
US,10908,175
US,34476,325
US,12319,174
US,19602,305
US,3119,74
US,15737,177
US,1769,19
US,5941,106
US,6907,137
US,4345,52
US,5883,73
US,4497,55
US,47697,627
US,7909,63
US,3538,92
US,11196,138
US,7013,163
US,10091,150
US,6084,61
US,9473,115
US,17143,191
US,6156,64
US,84866,967
US,5626,112
US,11487,126
US,6403,86
US,2663,22
US,60936,463
US,3996,94
US,0,274
US,2347,23
US,70796,691
US,4932,82
US,35132,453
US,10451,172
US,2380,30
US,24854,262
US,7179,95
US,23519,363
US,7610,144
US,8268,102
US,11448,91
US,1805,52
US,938,15
US,3248,68
US,3432,80
US,1311,25
US,7244,82
US,38980,528
US,6535,70
US,6386,89
US,5539,67
US,6988,66
US,3817,62
US,3072,26
US,5680,84
US,3333,88
US,5035,49
US,12769,181
US,3581,75
US,3163,37
US,2701,43
US,4843,54
US,4033,81
US,13865,173
US,5064,59
US,26870,160
US,1825,35
US,1847,29
US,4777,71
US,11291,165
US,4742,78
US,31008,330
US,2698,56
US,4959,88
US,4184,69
US,2960,50
US,1641,29
US,2051,28
US,3055,50
US,2773,48
US,3998,90
US,3287,51
US,5070,71
US,3846,101
US,6516,84
US,2312,37
US,3073,44
US,2148,51
US,4332,54
US,5537,75
US,10453,124
US,4424,63
US,44987,183
US,6467,84
US,2479,55
US,4362,98
US,9232,149
US,64756,668
US,2949,68
US,2186,34
US,3164,55
US,3704,46
US,5800,95
US,8910,136
US,11469,136
US,4004,47
US,2839,51
US,2091,53
US,2200,52
US,2596,60
US,11265,139
US,3887,73
US,1575,23
US,3845,56
US,2416,41
US,7174,114
US,1942,31
US,147524,1230
US,27969,354
US,4672,65
US,1318,42
US,2888,43
US,49015,449
US,3178,59
US,8987,99
US,23335,104
US,4671,101
US,1535,25
US,0,0
US,3186,56
US,1699,28
US,10439,222
US,14506,157
US,6822,89
US,1520,35
US,12112,186
US,3466,48
US,4503,56
US,33209,357
US,2048,17
US,4051,71
US,5127,65
US,2585,38
US,5063,45
US,1234,13
US,7689,124
US,5619,64
US,3159,51
US,22573,238
US,798,10
US,1000,22
US,7447,99
US,733,16
US,609,8
US,2452,49
US,2672,50
US,2833,48
US,548,18
US,12437,176
US,15195,148
US,790,22
US,5906,107
US,2850,39
US,34368,176
US,679,16
US,699,13
US,8442,92
US,2461,34
US,13435,128
US,12512,123
US,8235,104
US,11418,90
US,967,24
US,757,20
US,2800,40
US,1429,25
US,391,6
US,2222,26
US,553,6
US,1920,29
US,11960,137
US,1137,15
US,509,13
US,4640,40
US,5764,71
US,954,17
US,178296,1377
US,1381,22
US,2341,30
US,775,8
US,7991,89
US,370,12
US,24249,211
US,740,12
US,3490,36
US,1021,16
US,12076,136
US,4032,56
US,2962,51
US,9609,142
US,1439,27
US,9651,107
US,1759,26
US,10986,181
US,1769,33
US,742,12
US,3796,67
US,6105,80
US,907,19
US,2457,39
